2026-05-09 01:48:10 | INFO     | backend.database | <module> | Database engine created: sqlite:////app/data/backend_app.db
2026-05-09 01:48:10 | INFO     | backend.api | <module> | Database tables verified/created on startup.
2026-05-09 01:54:09 | DEBUG    | backend.database | <module> | Database directory ensured: /app/data
2026-05-09 01:54:09 | INFO     | backend.database | <module> | Database engine created: sqlite:////app/data/backend_app.db
2026-05-09 01:54:09 | INFO     | backend.api | <module> | Database tables verified/created on startup.
2026-05-09 01:54:22 | INFO     | backend.api | login | Login attempt for username='admin'
2026-05-09 01:54:22 | DEBUG    | backend.security | verify_password | Password verification result: True
2026-05-09 01:54:22 | INFO     | backend.api | login | Login successful: username='admin', id=1
2026-05-09 01:54:22 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:23 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:23 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:54:23 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:26 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:26 | INFO     | backend.api | get_projects | Returning 2 project(s) for user_id=1
2026-05-09 01:54:26 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:26 | INFO     | backend.api | delete_project | Delete requested for project_id=1
2026-05-09 01:54:26 | DEBUG    | backend.api | delete_project | Deleted PDF file: /app/data/uploads/project_1.pdf
2026-05-09 01:54:26 | INFO     | backend.api | delete_project | Project deleted: project_id=1
2026-05-09 01:54:26 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:27 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:27 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:54:27 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:28 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:28 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:54:28 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:28 | INFO     | backend.api | delete_project | Delete requested for project_id=2
2026-05-09 01:54:28 | DEBUG    | backend.api | delete_project | Deleted PDF file: /app/data/uploads/project_2.pdf
2026-05-09 01:54:28 | INFO     | backend.api | delete_project | Project deleted: project_id=2
2026-05-09 01:54:28 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:29 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:29 | INFO     | backend.api | get_projects | Returning 0 project(s) for user_id=1
2026-05-09 01:54:29 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:32 | INFO     | backend.api | create_project | Creating project name='qweq' for user_id=1
2026-05-09 01:54:32 | INFO     | backend.api | create_project | Project created: id=1, name='qweq', owner_id=1
2026-05-09 01:54:32 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:32 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:32 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:54:32 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:35 | DEBUG    | backend.api | get_projects | Fetching all projects for user_id=1
2026-05-09 01:54:35 | INFO     | backend.api | get_projects | Returning 1 project(s) for user_id=1
2026-05-09 01:54:35 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:35 | DEBUG    | backend.api | get_project | Fetching project_id=1
2026-05-09 01:54:35 | DEBUG    | backend.api | get_project | Project fetched: project_id=1, has_data=False
2026-05-09 01:54:35 | DEBUG    | backend.database | get_db | Database session closed.
2026-05-09 01:54:35 | DEBUG    | backend.api | get_project_pdf | PDF requested for project_id=1, path=/app/data/uploads/project_1.pdf
